"Source","Rename In File","Alt+Shift+R","Editing Ant Buildfiles"
"Source","Toggle Comment","Ctrl+7","Editing Properties Files"
"Source","Surround With Quick Menu","Alt+Shift+Z","In Windows"
"Git","Commit...","Ctrl+#","In Windows"
"Focused UI","Make Less Interesting","Ctrl+Alt+Shift+Down","In Windows"
"Window","Show Contributing Plug-in","Alt+Shift+F3","In Dialogs and Windows"
"Run/Debug","Toggle Memory Monitors Pane","Ctrl+T","In Memory View"
"Text Editing","Select Next Word","Ctrl+Shift+Right","Editing Text"
"MoreClipboard View","MoreClipboard ContentsView RemoveSelected","Delete","In MoreClipboard Contents View"
"ASA 9.x table schema editor","Copy","Alt+C","In Windows"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Source","Toggle Mark Occurrences","Alt+Shift+O","Editing JavaScript Source"
"Search","Declaration in Workspace","Ctrl+G","JavaScript View"
"Edit","Rename","Alt+Shift+R","Editing JSP Source"
"Navigate","Open External JSDoc","Shift+F2","JavaScript View"
"Navigate","Backward History","Alt+Left","In Windows"
"Navigate","Quick Hierarchy","Ctrl+T","Editing JavaScript Source"
"Uncategorized","Show Markup Cheat Sheet","F1","WikiText Markup Source Context"
"Text Editing","Scroll Line Up","Ctrl+Up","Editing Text"
"Search","Declaration in Workspace","Ctrl+G","In Windows"
"Edit","Delete","Delete","In Windows"
"Navigate","Open Manifest","Ctrl+Alt+Shift+M","In Windows"
"Window","Previous Editor","Ctrl+Shift+F6","In Windows"
"Views","Show View","Alt+Shift+Q, Q","In Windows"
"Run/Debug","Debug Eclipse Application","Alt+Shift+D, E","In Windows"
"Edit","Move","Alt+Shift+V","Editing JSP Source"
"Edit","Select Previous Element","Alt+Shift+Left","Editing JavaScript Source"
"Run/Debug","Run","Ctrl+F11","In Windows"
"Run/Debug","Debug XSLT Transformation","Alt+Shift+D, X","In Windows"
"Source","Show Source Quick Menu","Alt+Shift+S","JavaScript View"
"Source","Organize Imports","Ctrl+Shift+O","JavaScript View"
"Server","Run","Ctrl+Alt+R","In Servers View"
"Window","Next Perspective","Ctrl+F8","In Windows"
"Run/Debug","Close Rendering","Ctrl+W","In Memory View"
"Terminal view commands","Terminal view insert","Alt+D","Terminal Typing Connected"
"SQL Results View","Remove All Visible Results","Shift+Delete","In Windows"
"Navigate","Quick Outline","Ctrl+O","Editing Java Source"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text"
"Navigate","Next Page","Ctrl+F5","Using Web Page Editor"
"Views","Documentation","Alt+Shift+Q, J","JavaScript View"
"Source","Add Javadoc Comment","Alt+Shift+J","In Windows"
"File","Close","Ctrl+F4","In Windows"
"Source","Quick Assist - Rename in file","Ctrl+2, R","Editing JavaScript Source"
"Navigate","Open Task","Ctrl+F12","In Windows"
"Navigate","Next Page","Alt+F7","In Windows"
"Navigate","Previous Sub-Tab","Alt+PageUp","In Dialogs and Windows"
"Source","Toggle Comment","Ctrl+/","Editing Java Source"
"Edit","Transparent Copy via MoreClipboard","Ctrl+C","Dialogs and Windows (MoreClipboard)"
"Window","Show Key Assist","Ctrl+Shift+L","In Dialogs and Windows"
"Edit","Find Previous","Ctrl+Shift+K","Editing Text"
"Run/Debug","Run JUnit Test","Alt+Shift+X, T","In Windows"
"Terminal view commands","Terminal view insert","Alt+G","Terminal Typing Connected"
"Run/Debug","Step Over","F6","Debugging"
"File","Rename","F2","In Windows"
"Database Tools","Execute Selected Text As One Statement","Alt+C","Editing SQL"
"Edit","Toggle Comment","Ctrl+/","Editing SQL"
"Edit","Select Next Element","Alt+Shift+Right","Editing in Structured Text Editors"
"Views","JavaScript Declaration","Alt+Shift+Q, D","JavaScript View"
"Navigate","Open Type","Ctrl+Shift+T","Editing JavaScript Source"
"Run/Debug","Debug on Server","Alt+Shift+D, R","In Windows"
"Emmet","Select Next Item","Ctrl+Shift+.","Editing Text"
"Web Page Editor Layout","Source Code","Ctrl+Shift+F12","Using Web Page Editor"
"Window","Update Project","Alt+F5","In Windows"
"Task Repositories","Show Tooltip Description","F4","In Tasks View"
"Source","Organize Imports","Ctrl+Shift+O","In Windows"
"Run/Debug","EOF","Ctrl+Z","In I/O Console"
"Source","Format","Ctrl+Shift+F","Editing Ant Buildfiles"
"JavaScript Debug","Evaluate","Alt+Shift+E","Editing JavaScript Source"
"Views","Show View ()","Alt+Shift+Q, D","In Windows"
"Window","Next Editor","Ctrl+F6","In Windows"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows"
"File","Close All","Ctrl+Shift+W","In Windows"
"Edit","Select Previous Element","Alt+Shift+Left","Editing Java Source"
"Spy","Plug-in Selection Spy","Alt+Shift+F1","In Dialogs and Windows"
"Source","Add Import","Ctrl+Shift+M","Editing Java Source"
"Text Editing","To Lower Case","Ctrl+Shift+Y","Editing Text"
"Source","Add Import","Ctrl+Shift+M","Editing JavaScript Source"
"Source","Add Block Comment","Ctrl+Shift+/","Editing JavaScript Source"
"Edit","Add Im&port","Ctrl+Shift+M","Editing JSP Source"
"Views","JavaScript Script Explorer","Alt+Shift+Q, P","JavaScript View"
"Navigate","Last Edit Location","Ctrl+Q","In Windows"
"Run/Debug","Debug Ant Build","Alt+Shift+D, Q","In Windows"
"Navigate","Open Type in Hierarchy","Ctrl+Shift+H","In Windows"
"Git","Paste Repository Path or URI","Ctrl+V","In Git Repositories View"
"Window","Previous Perspective","Ctrl+Shift+F8","In Windows"
"Task Editor","Maximize Part","Ctrl+Shift+M","In Tasks Editor"
"Run/Debug","Java Breakpoint Properties","Alt+Enter","In Breakpoints View"
"Run/Debug","Force Return","Alt+Shift+F","In Windows"
"Source","Toggle Comment","Ctrl+/","Editing Properties Files"
"Window","Quick Access","Ctrl+3","In Windows"
"Task Editor","Submit Task","Alt+Shift+S","In Tasks Editor"
"Source","Quick Assist - Rename in file","Ctrl+2, R","Editing Java Source"
"Edit","Toggle Insert Mode","Ctrl+Shift+Insert","Editing Text"
"Edit","Toggle Comment","Ctrl+Shift+C","Editing in Structured Text Editors"
"Terminal view commands","Paste","Shift+Insert","Terminal Control in Focus"
"Task Repositories","Mark Task Read and Go To Next Unread Task","Alt+Shift+Down","In Tasks View"
"Refactor - JavaScript","Rename - Refactoring ","Alt+Shift+R","JavaScript View"
"Search","References in Workspace","Ctrl+Shift+G","JavaScript View"
"Run/Debug","Run Java Application","Alt+Shift+X, J","In Windows"
